income_am,profit_last_am,profit_am,damage_am,crd_lim_rec,cab_requests,bar_no,neighbor_income,age,tenure_mts,tenure_yrs,claims_am,nights_booked,shop_am,pos_mean_scores,neg_mean_scores,damage_inc_0,damage_inc_1,damage_inc_2,damage_inc_3,damage_inc_4,damage_inc_5,damage_inc_7,credit_use_ic_0.0,credit_use_ic_1.0,insurance_ic_0,insurance_ic_1,spa_ic_0,spa_ic_1,empl_ic_0,empl_ic_1,married_cd_False,married_cd_True,sport_ic_0,sport_ic_1,marketing_permit_0,marketing_permit_1,dining_ic_0,dining_ic_1,presidential_0.0,presidential_1.0,presidential_Undefined,client_segment_0,client_segment_1,client_segment_2,client_segment_3,client_segment_4,client_segment_5,sect_empl_0,sect_empl_1,sect_empl_2,sect_empl_4,sect_empl_6,prev_stay_0,prev_stay_1,prev_all_in_stay_0,prev_all_in_stay_1,divorce_0,divorce_1,fam_adult_size_1,fam_adult_size_2,fam_adult_size_3,children_no_0,children_no_1,children_no_2,children_no_3,children_no_4,company_ic_0,company_ic_1,claims_no_0,claims_no_1,claims_no_2,claims_no_3,claims_no_5,claims_no_7,gender_M,gender_V,shop_use_0.0,shop_use_1.0,shop_use_Undefined,retired_0,retired_1,gold_status_0,gold_status_1,outcome_damage_amount,outcome_profit,outcome_damage_inc
3392.0,2447.0,2447.0,0.0,15000.0,2,8,47363.0,66,324,27,0.0,16,0,0.9947759253544588,0.7241865354024969,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,66.9,1429.49,0
227.0,0.0,1704.0,1289.0,10000.0,8,4,39993.0,27,410,34,0.0,133,0,0.1013529875613886,0.0910906739600082,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,320.08,1683.7,0
227.0,0.0,1620.0,19.0,0.0,5,2,41523.0,41,51,4,0.0,4,0,0.5227861619125291,0.474789872843861,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,100.66,1986.54,0
1257.0,41.0,2374.0,0.0,0.0,10,7,31135.0,47,611,51,0.0,4,8,0.2086791031981951,0.3942190258749509,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,112.76,1899.89,0
14214.0,1626.0,17519.0,182.0,4000.0,2,9,39450.0,52,467,39,0.0,20,0,0.5227861619125291,0.474789872843861,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,269.26,1914.09,0
8622.0,3518.0,3014.0,0.0,0.0,6,3,27090.0,79,324,27,0.0,33,0,0.2928878969256611,0.7889283756723119,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,139.7,1955.83,0
923.0,228.0,2400.0,0.0,4500.0,11,15,31573.0,27,222,19,0.0,17,6,0.8507446958291232,0.7472465164952594,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,73.16,1296.52,0
7264.0,2969.0,2969.0,0.0,4000.0,3,0,32856.0,75,587,49,0.0,18,0,0.186935539000919,0.0796371060750306,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,64.67,1413.58,0
227.0,810.0,1620.0,0.0,0.0,6,8,28936.0,65,273,23,0.0,4,0,0.5227861619125291,0.2737210076476332,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,130.69,1753.0,0
1013.0,136.0,4983.0,0.0,4000.0,6,2,32173.0,23,344,29,0.0,12,0,0.5227861619125291,0.474789872843861,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,95.92,2263.51,0
286.0,2.0,1716.0,1687.0,0.0,8,3,29807.0,38,288,24,0.0,63,0,0.5227861619125291,0.474789872843861,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,1715.27,0
227.0,0.0,2282.0,1539.0,6000.0,7,3,38238.0,32,147,12,0.0,18,0,0.3134130667349496,0.7182687788544648,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,1663.15,0
252.0,10.0,2339.0,0.0,0.0,2,7,29441.0,22,73,6,0.0,12,0,0.566921892275728,0.6585996643543285,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,94.98,1797.55,0
375.0,62.0,1676.0,0.0,750.0,7,9,29202.0,20,154,13,0.0,3,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,197.01,4213.68,0
1650.0,552.0,1807.0,0.0,5000.0,4,7,31897.0,23,162,14,0.0,43,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,183.59,1290.13,0
322.0,23.0,2750.0,0.0,4500.0,3,7,34511.0,40,258,22,0.0,105,0,0.7833112930614573,0.6909780589107042,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,308.69,4431.8,1
432.0,0.0,2038.0,69.0,6000.0,4,5,30126.0,52,297,25,0.0,72,6,0.6526898067723763,0.5988386019012704,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0,1778.28,0
364.0,19.0,8590.0,1044.0,7000.0,7,10,28217.0,31,242,20,0.0,118,0,0.5502919877628601,0.4770471165587781,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,57.91,3721.33,0
227.0,0.0,1632.0,0.0,0.0,2,0,28636.0,53,273,23,0.0,4,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,85.23,1901.71,0
236.0,1.0,1638.0,0.0,12000.0,3,9,30422.0,48,392,33,0.0,115,0,0.7453065469801234,0.3430560424934126,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,1390.14,0
1761.0,0.0,2030.0,0.0,0.0,8,6,26462.0,47,393,33,0.0,3,0,0.9329156620805162,0.7751286405223579,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,240.39,1873.78,0
3913.0,1463.0,2357.0,0.0,3500.0,4,4,34723.0,54,384,32,0.0,41,6,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,1423.79,0
227.0,0.0,1621.0,0.0,0.0,3,5,25249.0,32,32,3,0.0,4,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,105.16,1168.53,0
272.0,19.0,1628.0,0.0,0.0,5,8,33399.0,38,55,5,0.0,3,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,133.73,1935.17,0
227.0,810.0,1620.0,0.0,0.0,3,3,31560.0,31,273,23,0.0,4,0,0.5227861619125291,0.6569150468338164,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,85.5,1362.28,0
233.0,1.0,2088.0,0.0,3000.0,1,6,16799.0,32,15,1,0.0,15,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,285.65,1857.18,0
227.0,810.0,1620.0,0.0,0.0,6,4,31442.0,44,94,8,0.0,2,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0,1251.02,0
6092.0,2100.0,3137.0,0.0,0.0,6,8,37460.0,44,431,36,0.0,2,8,0.4199805506885233,0.6683204958867296,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,444.75,1954.68,0
973.0,0.0,1745.0,0.0,4500.0,3,9,32322.0,54,587,49,1955.0,86,0,0.1984937209355541,0.4440240749806436,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,77.05,1762.82,0
453.0,93.0,1828.0,0.0,4000.0,12,4,34857.0,66,407,34,0.0,5,0,0.2794920699634896,0.4688754970912111,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,132.53,1302.88,0
23268.0,543.0,20942.0,0.0,7000.0,3,8,26936.0,70,384,32,0.0,4,0,0.3363493243613206,0.4133795243230965,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.0,1956.18,0
1190.0,325.0,6688.0,1676.0,8500.0,4,5,34869.0,30,338,28,0.0,52,6,0.2056930291811279,0.1310495369069955,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,175.65,2729.67,0
1439.0,61.0,2725.0,219.0,7500.0,4,1,29757.0,36,329,27,0.0,152,7,0.4977535986528714,0.6918787240145403,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,354.56,1660.0,1
227.0,0.0,1620.0,0.0,0.0,6,3,27256.0,61,87,7,0.0,4,0,0.5754871329003306,0.5623715166650639,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,469.73,1693.08,0
464.0,928.0,1856.0,0.0,750.0,6,0,37393.0,21,19,2,0.0,4,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,73.41,1822.52,0
853.0,971.5,1943.0,0.0,0.0,2,3,31676.0,23,130,11,0.0,17,6,0.5051644317838149,0.6577345362882667,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,1752.4,0
227.0,810.5,1621.0,0.0,0.0,5,5,33108.0,23,309,26,0.0,4,0,0.5872761443533007,0.5240550171275216,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,280.61,2100.89,1
1797.0,955.5,1911.0,0.0,3000.0,9,5,32155.0,67,245,20,0.0,69,0,0.4087284909351464,0.2325206156785564,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,359.17,1779.98,0
227.0,810.0,1620.0,0.0,0.0,10,5,34577.0,32,273,23,0.0,2,0,0.5227861619125291,0.8984907442752136,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,89.02,1667.93,0
1327.0,460.0,1844.0,0.0,1500.0,1,9,32481.0,43,166,14,0.0,20,0,0.8997708518921145,0.4383991321425651,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,2005.92,0
387.0,7.0,1760.0,0.0,750.0,2,7,35756.0,23,210,18,0.0,38,0,0.1972998910598151,0.0866205661615665,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,334.08,1366.28,0
2647.0,976.0,2467.0,916.0,4000.0,10,7,29500.0,26,138,12,0.0,25,0,0.9313238833966356,0.5576764586754038,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,345.42,1543.23,1
231.0,0.0,1622.0,0.0,0.0,5,2,28717.0,28,273,23,0.0,2,0,0.5227861619125291,0.474789872843861,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0,1809.34,0
1119.0,3.0,22739.0,1221.0,0.0,5,2,36233.0,40,551,46,0.0,21,0,0.5887872354390116,0.1517624343107235,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0,1276.13,0
