income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,tenure_yrs,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status,score1_pos,score1_neg,score2_pos,score2_neg,score3_pos,score3_neg,score4_pos,score4_neg,score5_pos,score5_neg,outcome_profit,outcome_damage_inc,outcome_damage_amount
7177.0,2887.0,3770.0,0.0,0.0,15000.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,True,11.0,0.0,34575.0,53.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,167.0,14.0,0.0,0.0,0.0,19.0,V,0.0,0.0,0.0,0.0,,,0.222590072941646,0.1305484293803366,,,0.2765078441280657,0.8824607513178383,,,1761.14,1,483.05
3240.0,1212.0,2750.0,2762.0,6.0,12000.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,True,9.0,1.0,31135.0,53.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,477.0,40.0,0.0,0.0,0.0,13.0,V,0.0,0.0,0.0,0.0,0.3902331023691116,0.5265281717646892,,,,,0.044849492747959616,0.6499344033900616,,,2109.04,1,1046.7
489.0,49.0,1870.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,2.0,0.0,,75.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,324.0,27.0,0.0,0.0,0.0,39.0,M,0.0,0.0,1.0,0.0,,,,,0.7571750684911346,0.886477826526193,,,,,1530.76,0,0.0
1148.0,79.0,1878.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True,5.0,0.0,28802.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,350.0,29.0,0.0,0.0,0.0,86.0,M,0.0,0.0,0.0,0.0,,,,,0.6934645585355333,0.5624286535416286,,,,,1694.48,0,0.0
1480.0,0.0,3819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,False,0.0,0.0,35505.0,79.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,243.0,20.0,0.0,0.0,0.0,3.0,M,0.0,0.0,1.0,0.0,,,,,,,0.5890252527640849,0.23593345695017026,0.5834235505559962,2.0319519252868603,2852.01,0,0.0
257.0,0.0,9757.0,1884.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,True,5.0,1.0,30895.0,46.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,270.0,23.0,0.0,2.0,0.0,4.0,V,0.0,0.0,0.0,0.0,0.04868730746965532,0.2501839021942849,,,0.4456422748654749,0.8537369969310091,0.6117551745987985,0.0727075200628311,0.0174894446446113,4.8210956681655315,3692.95,1,400.19
980.0,280.0,1814.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,True,5.0,0.0,29429.0,22.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,254.0,21.0,0.0,0.0,0.0,3.0,V,0.0,0.0,0.0,0.0,,,,,0.8195863519331992,0.5504583346728151,,,,,1953.79,0,0.0
577.0,128.0,1690.0,1075.0,3.0,6000.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,True,4.0,1.0,31060.0,31.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,417.0,35.0,0.0,0.0,0.0,58.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,2822.35,1,898.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,7.0,0.0,27407.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,1.0,0.0,0.0,4.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,1344.72,1,298.15
227.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,5.0,0.0,,61.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,350.0,29.0,0.0,0.0,0.0,4.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,1410.55,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,False,2.0,0.0,38394.0,83.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,242.0,20.0,0.0,0.0,0.0,4.0,V,0.0,0.0,1.0,0.0,0.6614450621700233,0.5251092756927315,,,,,,,,,1324.4,0,0.0
1814.0,246.0,2610.0,0.0,2.0,11000.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,True,7.0,1.0,52666.0,40.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,546.0,46.0,0.0,0.0,0.0,44.0,V,3667.808726446357,1.0,0.0,0.0,0.4316468632777927,0.8552220620897341,,,,,,,0.3795307034622291,5.68356184556458,1567.26,0,0.0
1637.0,479.0,2935.0,0.0,0.0,5000.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,True,22.0,0.0,28217.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,342.0,29.0,0.0,0.0,0.0,61.0,V,1033.9096987197304,1.0,0.0,0.0,,,,,,,0.7662072148054311,0.6716292649956552,,,1130.12,0,0.0
682.0,148.0,1716.0,0.0,0.0,750.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,True,2.0,0.0,37365.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,227.0,19.0,0.0,0.0,0.0,3.0,V,0.0,0.0,0.0,0.0,0.44207089368467894,0.809798296397391,0.2945299483065095,0.517246309489413,,,,,0.1675236358312656,1.42648181804062,2042.24,0,0.0
227.0,1562.0,3124.0,849.0,2.0,14000.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,True,7.0,1.0,29094.0,37.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,498.0,42.0,0.0,2.0,1810.0,4.0,V,0.0,0.0,0.0,0.0,0.5269349197612052,0.26459300499488464,0.0946015627285911,0.3937317268640578,,,,,,,2805.15,0,0.0
876.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,True,5.0,0.0,33737.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,395.0,33.0,0.0,0.0,0.0,4.0,V,3198.559810472969,1.0,0.0,0.0,0.28604389476191544,0.18536591144304032,0.5261081652801753,0.32842375092590564,,,,,,,2271.39,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,3.0,0.0,40900.0,78.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,392.0,33.0,0.0,0.0,0.0,31.0,V,0.0,0.0,1.0,0.0,,,,,,,,,,,1055.05,0,0.0
4221.0,1438.0,1877.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,True,9.0,0.0,41058.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,,2125.52,0,0.0
778.0,57.0,2650.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,False,7.0,0.0,34128.0,62.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,124.0,10.0,0.0,0.0,0.0,4.0,V,0.0,0.0,1.0,0.0,0.3369884581199937,0.24743731659608065,,,,,0.13235520130560785,0.0428210350086038,,,2015.78,0,0.0
229.0,810.5,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,True,6.0,0.0,26712.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,283.0,24.0,0.0,0.0,0.0,4.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,7.1293143275411,2404.4,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,False,7.0,0.0,35677.0,54.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,475.0,40.0,0.0,1.0,1682.0,4.0,V,0.0,0.0,0.0,0.0,0.9801064141831358,0.9607553700336507,,,,,,,,,1508.8,1,1236.95
979.0,0.0,2258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,0.0,0.0,39738.0,49.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,317.0,26.0,0.0,0.0,0.0,3.0,M,3431.903927464492,1.0,0.0,0.0,,,,,,,,,,,3512.52,0,0.0
229.0,0.0,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,True,2.0,0.0,25841.0,51.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,168.0,14.0,0.0,0.0,0.0,4.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,949.05,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True,5.0,0.0,29702.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,183.0,15.0,0.0,0.0,0.0,1.0,V,0.0,0.0,0.0,0.0,0.25947759980905305,0.1880821777196665,,,,,0.16610981887502388,0.32756552847753845,,,2549.75,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,True,4.0,0.0,31081.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,4.0,M,0.0,0.0,0.0,0.0,,,,0.7593852101453898,,0.422903648313112,,0.7342465144203864,,,1022.26,1,369.62
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,True,5.0,0.0,36028.0,46.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,369.0,31.0,0.0,0.0,0.0,13.0,M,0.0,0.0,0.0,0.0,,,,,0.3818630268009064,0.8316438922439701,,,,,1841.01,0,0.0
227.0,0.0,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,True,0.0,0.0,26174.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,1.0,V,0.0,0.0,0.0,0.0,,,,,,,,0.1808604816539877,,,3863.28,0,0.0
2783.0,399.0,3047.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,True,7.0,0.0,31122.0,69.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,659.0,55.0,0.0,1.0,0.0,73.0,M,0.0,0.0,1.0,0.0,0.5336678018343951,0.7746298087688038,,,,,,,0.09109207629279566,-0.7196764979486769,979.61,1,985.93
556.0,93.0,1721.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,False,4.0,0.0,28658.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,350.0,29.0,0.0,0.0,0.0,34.0,V,0.0,0.0,0.0,0.0,,,,,,,,,0.7778814005608393,5.83738769827147,1319.23,0,0.0
951.0,304.0,1737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,True,6.0,0.0,44045.0,66.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,349.0,29.0,0.0,0.0,0.0,3.0,M,0.0,0.0,1.0,0.0,0.36141436889839895,0.3673843897526886,,,0.4529041805798636,0.189793791155148,0.46037502094222,0.6533526124477063,,,1450.13,1,1015.59
238.0,3.0,1626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,True,4.0,0.0,27386.0,48.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,6.0,0.0,0.0,0.0,3.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,1784.74,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,True,3.0,0.0,24737.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,V,0.0,0.0,0.0,0.0,0.4612213893516808,0.6746494604853591,,,,,0.5125411654153322,0.5017450481192895,,,1017.69,0,0.0
3259.0,1210.0,2189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,1.0,1.0,33902.0,56.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,324.0,27.0,0.0,0.0,0.0,41.0,M,0.0,0.0,0.0,0.0,,,,,0.669596151942825,0.2290578330540725,,,,,736.93,0,0.0
405.0,0.0,1632.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True,2.0,0.0,27191.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,1502.51,0,0.0
3675.0,3922.5,7845.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,2.0,1.0,28075.0,69.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,671.0,56.0,0.0,0.0,0.0,54.0,M,0.0,0.0,1.0,0.0,0.2505638341262305,0.008859093156762976,,,,,,,,,780.85,0,0.0
3469.0,0.0,7350.0,344.0,1.0,8000.0,0.0,1.0,1.0,1.0,1.0,0.0,14.0,True,19.0,0.0,31745.0,38.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,504.0,42.0,0.0,0.0,0.0,47.0,M,924.7958185525432,1.0,0.0,0.0,,,0.8644786191304732,0.6800179571638123,,,0.8331126506372577,0.2311431944133426,,,2105.81,1,1078.73
12464.0,3566.0,7793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,4.0,0.0,32220.0,42.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,59.0,5.0,0.0,0.0,0.0,2.0,M,0.0,0.0,0.0,1.0,,,,,,,,,,,4442.22,0,0.0
353.0,17.0,3027.0,0.0,0.0,7000.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,True,36.0,0.0,39027.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,31.0,3.0,0.0,0.0,0.0,76.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,,575.65,1,596.86
1448.0,983.5,1967.0,0.0,0.0,3500.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,True,6.0,0.0,32183.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,288.0,24.0,0.0,0.0,0.0,44.0,V,0.0,0.0,0.0,0.0,,,,,0.2552021957580469,0.8610265562975853,,,0.4443414748619231,8.58912760681181,1278.59,0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True,2.0,0.0,27701.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,498.0,42.0,0.0,0.0,0.0,2.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,2790.11,0,0.0
4294.0,3438.0,3438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,True,6.0,1.0,34021.0,41.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,305.0,25.0,0.0,0.0,0.0,25.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,689.5,1,690.26
2770.0,237.0,3076.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,True,8.0,1.0,37460.0,44.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,563.0,47.0,0.0,0.0,0.0,107.0,M,1042.6615106937586,1.0,0.0,0.0,,,,,,,0.44488309497545103,0.37602106598036855,0.2062007057665271,3.01300611877438,1728.12,1,700.1
227.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,True,8.0,0.0,29468.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,145.0,12.0,0.0,0.0,0.0,3.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,,2118.35,0,0.0
269.0,17.0,1649.0,0.0,0.0,750.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,True,8.0,0.0,29739.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,4.0,0.0,0.0,0.0,4.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,994.0,1,1502.15
3296.0,532.0,17812.0,189.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,True,1.0,1.0,31013.0,46.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,587.0,49.0,0.0,0.0,0.0,93.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,,1993.89,0,0.0
469.0,0.0,4606.0,0.0,0.0,12000.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,True,21.0,1.0,28636.0,37.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,355.0,30.0,0.0,2.0,0.0,45.0,V,0.0,0.0,0.0,0.0,,,,,0.5615936257759331,0.14168937148725946,,,,,711.44,1,517.58
1963.0,654.0,1917.0,0.0,0.0,4000.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,True,7.0,0.0,38214.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,103.0,9.0,0.0,0.0,0.0,29.0,M,0.0,0.0,0.0,0.0,,,0.7661143877340567,0.6029325680483073,,,,,0.4792464305021104,9.42438934747473,1258.3,1,1361.52
504.0,0.0,1713.0,0.0,0.0,3000.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,False,7.0,0.0,41319.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,415.0,35.0,0.0,0.0,0.0,13.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,,1316.06,1,566.56
989.0,1215.5,2431.0,0.0,0.0,4500.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,False,2.0,1.0,29858.0,33.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,249.0,21.0,0.0,1.0,0.0,62.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,1291.45,0,0.0
311.0,1268.0,2536.0,0.0,0.0,11000.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,True,8.0,0.0,22373.0,42.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,283.0,24.0,0.0,0.0,0.0,40.0,M,0.0,0.0,0.0,0.0,,,,,0.03038045856749045,0.13165908598526735,0.043405360146106735,0.11563793202490022,0.07944995656836686,3.3058729951206898,1362.8,0,0.0
228.0,0.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,False,7.0,0.0,,25.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,144.0,12.0,0.0,0.0,0.0,54.0,V,0.0,0.0,0.0,0.0,,,,,0.7021465222926567,0.4615797481795023,,,,,1147.64,0,0.0
3078.0,287.0,4706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True,0.0,0.0,43432.0,59.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,346.0,29.0,0.0,0.0,0.0,3.0,M,8173.064062126503,1.0,0.0,0.0,,,,,,,,,,,8016.15,1,1070.6
2900.0,953.0,2545.0,0.0,0.0,4500.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,True,5.0,0.0,36895.0,45.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,333.0,28.0,0.0,0.0,0.0,57.0,M,2001.408323973135,1.0,0.0,0.0,0.8211371648708821,0.4893868021339911,,,0.8847484350369897,0.7200776721096903,0.6677094690296789,0.2549863936295489,,,1172.12,1,432.56
238.0,0.0,1873.0,35.0,1.0,1500.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,True,6.0,0.0,43863.0,49.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,671.0,56.0,0.0,2.0,586.0,77.0,V,0.0,0.0,0.0,0.0,,,,,0.5129875345835629,0.6652990179404908,,,,,1674.47,1,1244.88
9867.0,2423.0,4294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,True,3.0,0.0,27595.0,51.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,232.0,19.0,0.0,0.0,0.0,38.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,,1208.59,0,0.0
1455.0,377.0,2150.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,False,5.0,1.0,26359.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,390.0,33.0,0.0,0.0,0.0,97.0,V,0.0,0.0,1.0,0.0,,,0.5647552178016639,0.4982496239156117,0.6101026510513257,0.7488252301498789,,,,,679.95,0,0.0
1146.0,119.0,1578.0,612.0,2.0,7000.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,True,2.0,1.0,,26.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,312.0,26.0,0.0,2.0,59.0,50.0,V,0.0,0.0,0.0,1.0,,,,,,,0.6197991151095884,0.8015186469535677,,,1841.22,0,0.0
